player_id,"last_name, first_name",exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg,superstar_similarity,breakout_score,breakout_index
668731,"Baddoo, Akil",88.1,10.8,6.200000000000001,36.8,0.301,0.218,0.371,-7.003431530918671,20.398571428571422,12.177970540724393
668901,"Vientos, Mark",91.2,11.4,14.1,46.6,0.331,0.24599999999999997,0.463,-4.133946258385616,23.47714285714286,15.193816122484316
668930,"Turang, Brice",86.4,8.7,2.5999999999999996,28.62,0.2878,0.2462,0.33240000000000003,-8.13878938161783,18.169485714285717,10.277003185514651
669224,"Wells, Austin",88.4,17.1,9.1,38.9,0.339,0.242,0.42899999999999994,-5.026114499347604,22.072857142857142,13.943165650195718
669261,"Suwinski, Jack",90.5,22.399999999999995,15.7,43.4,0.346,0.218,0.461,-4.5917186608874765,24.717857142857145,15.92498440173376
669304,"Miranda, Jose",88.9,15.499999999999998,5.9,38.9,0.306,0.259,0.399,-5.5861546308533105,21.452,13.340553610744008
669357,"Gorman, Nolan",89.5,21.060000000000002,16.62,42.56,0.3258,0.22019999999999998,0.45899999999999996,-4.928526352749536,24.392142857142858,15.59594209417514
669701,"Smith, Josh",87.8,15.4,3.7000000000000006,37.1,0.304,0.242,0.352,-6.72516699014165,20.699714285714286,12.472249902957504
670623,"Paredes, Isaac",85.76,22.32,5.0600000000000005,27.660000000000004,0.3084,0.22400000000000003,0.3498,-7.7598485595757545,20.240314285714284,11.840265432127271
671218,"Ramos, Heliot",91.5,10.4,14.5,47.5,0.338,0.25,0.481,-3.8972413881282364,23.567,15.32772758356153
671277,"García, Luis",89.1,8.2,8.0,41.7,0.331,0.278,0.452,-4.881517033557159,21.151571428571426,13.34164488993285
671289,"Freeman, Tyler",87.7,13.0,3.2,34.6,0.302,0.23599999999999996,0.338,-7.220276551165037,19.91085714285714,11.771517034650484
671732,"Butler, Lawrence",91.1,11.3,11.0,47.4,0.339,0.258,0.468,-3.8703603805600744,23.123571428571427,15.025391885831976
672275,"Bailey, Patrick",90.25999999999999,11.34,7.3,41.16,0.3166,0.2544,0.40680000000000005,-5.24081035612412,21.57682857142857,13.531536893162762
672284,"Kelenic, Jarred",90.24000000000001,13.64,9.74,45.32,0.318,0.2502,0.4212,-4.686893081485642,22.847057142857146,14.586872075554309
672356,"Arias, Gabriel",91.1,3.7,9.9,46.3,0.304,0.23,0.407,-6.238750399255613,21.705857142857145,13.322474880223316
672515,"Moreno, Gabriel",89.92,6.960000000000001,5.879999999999999,41.31999999999999,0.3206,0.2594,0.3852,-5.862787677136939,20.720742857142856,12.745683696858915
672580,"Garcia, Maikel",90.96000000000001,6.279999999999999,3.7800000000000002,45.92,0.3076,0.2656,0.3768,-6.094937131443093,21.12714285714286,12.960518860567074
672640,"Lopez, Otto",88.0,5.4,5.1,38.9,0.313,0.274,0.394,-6.392304945672622,19.768714285714285,11.920408516298213
672695,"Perdomo, Geraldo",86.47999999999999,16.7,2.2199999999999998,23.28,0.2786,0.2202,0.2972,-8.868821510946452,18.496571428571432,10.286953546716067
672820,"Sosa, Lenyn",89.0,12.3,6.1,41.2,0.316,0.278,0.41899999999999993,-5.135128914001344,21.373285714285714,13.420761325799596
673962,"Jung, Josh",91.8,15.0,11.9,47.4,0.33699999999999997,0.26,0.482,-3.310431805379954,23.882714285714282,15.724770458386011
676356,"DeLuca, Jonny",84.6,16.2,3.9,28.000000000000004,0.272,0.23000000000000004,0.318,-8.632382373473707,19.074285714285715,10.762285287957889
676475,"Burleson, Alec",89.78,13.120000000000001,6.26,41.42,0.3322,0.2746,0.4406,-4.588237325080976,21.661057142857143,13.786268802475707
676914,"Schneider, Davis",88.6,21.4,12.0,38.0,0.292,0.198,0.358,-6.946730415408017,22.978285714285715,14.000780875377593
677587,"Rocchio, Brayan",84.6,9.4,4.0,22.3,0.275,0.21000000000000002,0.302,-9.58960171632373,17.298142857142857,9.23181948510288
677649,"Duran, Ezequiel",90.1,14.0,8.7,43.89999999999999,0.319,0.256,0.434,-4.6026263866989545,22.52985714285714,14.39011208399031
677800,"Abreu, Wilyer",91.6,19.2,11.1,50.5,0.317,0.229,0.418,-4.734579667743588,24.766285714285715,15.916026099676921
677950,"Thomas, Alek",88.9,2.2,5.1,41.6,0.291,0.251,0.373,-7.154745792465417,19.81642857142857,11.725076262260375
678225,"Bae, Ji Hwan",88.1,1.1,2.0,36.8,0.264,0.222,0.293,-9.08192367900762,18.397,10.153322896297713
678662,"Tovar, Ezequiel",88.47999999999999,16.38,8.64,38.36,0.28979999999999995,0.23900000000000002,0.395,-5.996773753477286,21.826257142857145,13.479347873956815
678882,"Rafaela, Ceddanne",86.6,14.9,7.5,36.9,0.273,0.229,0.368,-7.171146651312436,20.967142857142857,12.525656004606269
