year,"last_name, first_name",match_name,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
2025,"Gorman, Nolan","Suárez, Eugenio",90.25333333333333,20.00666666666666,15.064444444444689,45.49111111111097,0.3328888888888888,0.22364444444444498,0.45415555555555553
2026,"Gorman, Nolan","Suárez, Eugenio",90.57500000000005,20.625,15.902777777777828,46.83611111111122,0.33147222222222217,0.2201111111111116,0.45397222222222217
2027,"Gorman, Nolan","Suárez, Eugenio",90.89666666666665,21.24333333333334,16.741111111111195,48.18111111111102,0.33005555555555555,0.2165777777777782,0.45378888888888885
2028,"Gorman, Nolan","Suárez, Eugenio",91.21833333333336,21.86166666666668,17.57944444444456,49.52611111111128,0.3286388888888889,0.2130444444444448,0.45360555555555554
2025,"Smith, Josh","Cronenworth, Jake",87.67999999999995,15.940000000000055,5.460000000000036,33.57999999999993,0.3049999999999997,0.23139999999999716,0.36420000000000385
2026,"Smith, Josh","Cronenworth, Jake",87.31999999999994,16.86999999999989,4.639999999999873,32.19999999999982,0.2895000000000003,0.21599999999999753,0.33389999999999986
2027,"Smith, Josh","Cronenworth, Jake",86.95999999999992,17.799999999999955,3.8199999999999363,30.820000000000164,0.2740000000000009,0.2005999999999979,0.303600000000003
2028,"Smith, Josh","Cronenworth, Jake",86.59999999999991,18.730000000000018,3.0,29.440000000000055,0.2585000000000015,0.18519999999999825,0.273299999999999
2025,"García, Luis","Turner, Trea",89.36428571428576,12.132142857142867,7.978571428571456,42.52857142857141,0.33089285714285666,0.2721428571428568,0.4432500000000008
2026,"García, Luis","Turner, Trea",89.2714285714286,12.614285714285757,8.142857142857167,42.80000000000001,0.32671428571428507,0.26928571428571413,0.44014285714285784
2027,"García, Luis","Turner, Trea",89.17857142857147,13.096428571428532,8.307142857142878,43.07142857142861,0.3225357142857135,0.26642857142857146,0.43703571428571486
2028,"García, Luis","Turner, Trea",89.08571428571432,13.578571428571422,8.47142857142859,43.3428571428571,0.3183571428571419,0.2635714285714279,0.4339285714285719
2025,"Freeman, Tyler","Gardner, Brett",87.15,15.580000000000155,3.8400000000000034,34.25,0.25479999999999947,0.19759999999999955,0.3233000000000015
2026,"Freeman, Tyler","Gardner, Brett",87.10000000000001,16.320000000000164,3.9000000000000057,34.700000000000045,0.24640000000000128,0.19039999999999857,0.31680000000000064
2027,"Freeman, Tyler","Gardner, Brett",87.05,17.060000000000173,3.960000000000008,35.15000000000009,0.23799999999999955,0.18319999999999936,0.3103000000000016
2028,"Freeman, Tyler","Gardner, Brett",87.0,17.800000000000182,4.019999999999996,35.60000000000002,0.22960000000000136,0.17599999999999838,0.30380000000000074
2025,"Bailey, Patrick","Reynolds, Bryan",90.49523809523805,10.93333333333333,10.366666666666674,46.15238095238101,0.352238095238095,0.26871428571428574,0.468571428571428
