"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
691176,"Domínguez, Jasson",189,0.8957345971563981,134,"72.780275608",0.28042328042328046,0.2835820895522388,0.20105820105820105,0.16417910447761194,0.1164021164021164,"7.763869206",4,-4.572850719590511,55,0.291005291005291,60,0.31746031746031744
686780,"Pagés, Pedro",166,0.9120879120879121,135,"72.761648614",0.30722891566265065,0.25925925925925924,0.21084337349397592,0.14074074074074075,0.1144578313253012,"7.099598193",4,-2.992836958726704,31,0.18674698795180722,66,0.39759036144578314
676572,"Wagaman, Eric",182,0.896551724137931,144,"72.686428571",0.2967032967032967,0.4027777777777778,0.31868131868131866,0.2152777777777778,0.17032967032967034,"7.123195714",9,-3.3709690958933725,38,0.2087912087912088,89,0.489010989010989
681624,"Pages, Andy",241,0.9060150375939849,195,"72.653139585",0.18257261410788383,0.2205128205128205,0.17842323651452283,0.07692307692307693,0.06224066390041494,"7.859109793",6,2.560042302375131,46,0.1908713692946058,75,0.3112033195020747
502671,"Goldschmidt, Paul",237,0.9045801526717557,190,"72.641544473",0.25738396624472576,0.3368421052631579,0.270042194092827,0.1631578947368421,0.1308016877637131,"7.690619958",2,2.5191925271681535,47,0.19831223628691982,101,0.42616033755274263
678662,"Tovar, Ezequiel",119,0.9083969465648855,92,"72.536464118",0.226890756302521,0.3804347826086957,0.29411764705882354,0.16304347826086957,0.12605042016806722,"7.538495798",1,-5.845425508629421,27,0.226890756302521,50,0.42016806722689076
693307,"Dingler, Dillon",169,0.9135135135135135,127,"72.514027692",0.21893491124260359,0.31496062992125984,0.23668639053254437,0.15748031496062992,0.11834319526627218,"7.788123314",2,2.476153543595302,42,0.2485207100591716,64,0.378698224852071
666310,"Naylor, Bo",152,0.9047619047619048,120,"72.421227237",0.21710526315789477,0.3,0.23684210526315788,0.125,0.09868421052631579,"7.755883092",4,-6.635758274092596,32,0.21052631578947367,54,0.35526315789473684
656811,"O'Hearn, Ryan",149,0.9085365853658537,124,"72.361140671",0.22818791946308725,0.3790322580645161,0.31543624161073824,0.20967741935483872,0.174496644295302,"7.261990201",6,4.420464187591569,25,0.16778523489932887,67,0.44966442953020136
606192,"Hernández, Teoscar",224,0.9142857142857143,160,"72.357278304",0.2767857142857143,0.3125,0.22321428571428573,0.1875,0.13392857142857142,"7.8809",3,5.779328083879061,64,0.2857142857142857,92,0.4107142857142857
