"last_name, first_name",match_name,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
"Julien, Edouard","Báez, Javier",2028,85.60000000000002,7.800000000000002,4.9,38.80000000000001,0.1939999999999999,0.12099999999999997,0.135
"Morel, Christopher","Davis, Chris",2025,89.36,11.280000000000001,10.180000000000001,45.739999999999995,0.30160000000000003,0.23560000000000003,0.3874
"Morel, Christopher","Davis, Chris",2026,87.56,9.180000000000001,5.380000000000003,41.839999999999996,0.22060000000000007,0.20360000000000003,0.2484
"Morel, Christopher","Davis, Chris",2027,85.76,7.080000000000002,0.5800000000000036,37.94,0.1396000000000001,0.17160000000000003,0.1094
"Morel, Christopher","Davis, Chris",2028,83.96000000000001,4.980000000000002,-4.219999999999995,34.04,0.05860000000000015,0.13960000000000003,-0.029600000000000015
"Pratto, Nick","Grisham, Trent",2025,87.0,16.2,11.0,40.6,0.265,0.17300000000000001,0.329
"Pratto, Nick","Grisham, Trent",2026,88.5,22.2,17.7,43.800000000000004,0.278,0.15000000000000002,0.35700000000000004
"Pratto, Nick","Grisham, Trent",2027,90.0,28.2,24.4,47.00000000000001,0.29100000000000004,0.12700000000000003,0.38500000000000006
"Pratto, Nick","Grisham, Trent",2028,91.5,34.199999999999996,31.1,50.20000000000001,0.30400000000000005,0.10400000000000004,0.4130000000000001
"Bleday, JJ","Taylor, Chris",2025,87.6,11.300000000000002,11.5,42.7,0.369,0.275,0.482
"Bleday, JJ","Taylor, Chris",2026,86.89999999999999,12.300000000000002,13.399999999999999,42.300000000000004,0.377,0.273,0.49799999999999994
"Bleday, JJ","Taylor, Chris",2027,84.19999999999999,17.400000000000006,14.899999999999999,41.2,0.368,0.256,0.49399999999999994
"Bleday, JJ","Taylor, Chris",2028,81.49999999999999,22.500000000000007,16.4,40.1,0.359,0.23900000000000005,0.48999999999999994
"Steer, Spencer","Taylor, Chris",2025,87.38,9.260000000000003,9.719999999999999,45.28,0.37220000000000003,0.27480000000000004,0.47619999999999996
"Steer, Spencer","Taylor, Chris",2026,86.67999999999999,10.260000000000003,11.619999999999997,44.88,0.38020000000000004,0.27280000000000004,0.4921999999999999
"Steer, Spencer","Taylor, Chris",2027,83.97999999999999,15.360000000000005,13.119999999999997,43.78,0.37120000000000003,0.2558,0.4881999999999999
"Steer, Spencer","Taylor, Chris",2028,81.27999999999999,20.460000000000008,14.619999999999997,42.68,0.3622,0.23880000000000004,0.4841999999999999
"Baddoo, Akil","Grisham, Trent",2025,87.6,13.6,9.100000000000001,35.5,0.288,0.182,0.361
"Baddoo, Akil","Grisham, Trent",2026,89.1,19.6,15.8,38.7,0.301,0.159,0.389
"Baddoo, Akil","Grisham, Trent",2027,90.6,25.6,22.5,41.900000000000006,0.314,0.136,0.41700000000000004
"Baddoo, Akil","Grisham, Trent",2028,92.1,31.599999999999998,29.200000000000003,45.10000000000001,0.327,0.11300000000000002,0.44500000000000006
"Vientos, Mark","Upton, Justin",2025,88.7,11.6,14.799999999999999,42.4,0.35,0.24799999999999997,0.48300000000000004
"Vientos, Mark","Upton, Justin",2026,88.10000000000001,8.0,16.299999999999997,44.3,0.36199999999999993,0.24499999999999997,0.4610000000000001
"Vientos, Mark","Upton, Justin",2027,87.50000000000001,4.4,17.799999999999997,46.199999999999996,0.3739999999999999,0.24199999999999997,0.4390000000000001
"Vientos, Mark","Upton, Justin",2028,86.90000000000002,0.8000000000000007,19.299999999999997,48.099999999999994,0.38599999999999984,0.23899999999999996,0.41700000000000015
