"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Manzardo, Kyle","700932","75","20.7",29.3,"107.8","89.3","100.3","95.9","79.2","424","204","392","33",44,"11",14.7,8.7
"Henderson, Gunnar","683002","75","8.4",29.3,"113.3","95.4","105.1","96.5","95.5","397","156","395","42",56,"6",8,5.5
"Jung, Josh","673962","75","11.4",36,"108","87.2","99.8","95.7","82.4","414","158","379","29",38.7,"9",12,9
"Polanco, Jorge","593871","75","13.2",45.3,"110.5","92","103.2","96.3","87.2","423","192","394","40",53.3,"14",18.7,15.2
"Urshela, Gio","570482","75","10.6",45.3,"107","87.1","97.2","92.2","83.4","399","157",,"23",30.7,"1",1.3,1.1
"Espinal, Santiago","669289","74","10.8",31.1,"105.5","86.1","96.3","90.2","83","370","149",,"21",28.4,"1",1.4,1.1
"Robert Jr., Luis","673357","74","20",29.7,"115.8","88.9","102.3","93.9","88.7","415","165","387","31",41.9,"10",13.5,7.1
"Farmer, Kyle","571657","74","13.7",39.2,"105.8","86.5","97.2","91.1","82.6","371","157",,"22",29.7,"2",2.7,2
"Doyle, Brenton","686668","74","13",36.5,"111.3","90.8","101.4","93.4","88.5","421","179","399","32",43.2,"11",14.9,10.3
"Meyers, Jake","676694","74","6.9",29.7,"107.9","90.5","101","92.3","89.1","409","145","398","31",41.9,"4",5.4,3.9
"Aranda, Jonathan","666018","74","12.6",39.2,"111.4","95.1","104","96.1","94.9","409","178","383","46",62.2,"11",14.9,9.5
"Langford, Wyatt","694671","73","19.6",31.5,"110.7","90.6","100.7","94.5","85.6","431","182","386","32",43.8,"8",11,7.6
"Taylor, Tyrone","621438","73","20.2",42.5,"109.5","86.7","98.7","89.7","87.8","397","167","397","29",39.7,"3",4.1,3
"Jeffers, Ryan","680777","73","16.9",30.1,"110.4","90.9","101.7","94.4","87.3","412","194","409","36",49.3,"6",8.2,5.9
"Casas, Triston","671213","72","15.1",34.7,"110.9","87.6","101","94.9","77.8","396","180","382","32",44.4,"7",9.7,6.3
"Freeman, Freddie","518692","72","17.6",44.4,"111.6","93.2","101.5","94.2","91.1","418","209","409","32",44.4,"10",13.9,10.1
"Trout, Mike","545361","72","20.4",44.4,"115.4","90.5","102.5","94.6","85.8","484","216","398","33",45.8,"12",16.7,9.9
"Arias, Gabriel","672356","72","4.1",30.6,"111.2","87.4","100.5","96.1","81.3","424","136","402","28",38.9,"8",11.1,7.1
"Clement, Ernie","676391","72","23.7",38.9,"108.9","86.4","94.6","87.1","84.7","385","182",,"13",18.1,"2",2.8,2.3
"McMahon, Ryan","641857","72","16.8",22.2,"110.2","93.5","101.7","94.7","91.8","432","158","411","34",47.2,"6",8.3,4.4
"Heim, Jonah","641680","71","14.6",36.6,"109.6","91.5","99.4","93","91.4","417","173","395","28",39.4,"5",7,5.1
"Iglesias, Jose","578428","71","-5.6",18.3,"109.5","82.4","95.2","86.9","81.5","351","81",,"18",25.4,"0",0,0
"Isbel, Kyle","664728","71","15.8",21.1,"107.1","84.2","96.9","89.4","88.1","401","125","393","18",25.4,"2",2.8,2.2
"Young, Jacob","696285","71","-5",18.3,"106.8","86.5","97.1","87","86.6","338","83",,"20",28.2,"0",0,0
"Smith, Josh","669701","71","9",28.2,"106.7","88.8","98.5","91.5","86.1","395","140","395","27",38,"5",7,4.9
"O'Hearn, Ryan","656811","71","10.2",39.4,"109.4","90.9","101","95.8","86.5","396","164","385","38",53.5,"10",14.1,10.5
"Walker, Jordan","691023","71","13.1",29.6,"116.5","91","101.9","92.7","92.6","419","160","407","31",43.7,"4",5.6,3.5
"Valdez, Enmanuel","665839","71","15.6",39.4,"108.5","90.1","100.6","94.4","87.2","405","176","394","32",45.1,"6",8.5,6.2
"Báez, Javier","595879","71","6.8",35.2,"106.9","86.8","96.8","92.4","81.5","410","154","384","22",31,"4",5.6,4
"Baldwin, Brooks","681460","71","12.7",35.2,"110","89.3","99.2","93.8","86","407","146","396","26",36.6,"4",5.6,3.8
"Toglia, Michael","669911","70","15.9",30,"109.6","89.1","100.7","92.8","86.2","457","171","430","28",40,"6",8.6,4.7
"Westburg, Jordan","676059","70","13.9",25.7,"110","88.6","101.2","94.2","84.4","434","161","410","28",40,"9",12.9,9.2
"Pagés, Pedro","686780","70","15.1",31.4,"108.7","88.1","98.7","90.5","85.9","399","160","387","23",32.9,"3",4.3,3.3
"Burger, Jake","669394","70","12.7",25.7,"113","90.5","103.5","97.7","84.9","429","157","411","34",48.6,"9",12.9,8.3
"Thomas, Alek","677950","70","0.1",31.4,"109.4","92.8","101.4","97.8","89.4","417","127",,"30",42.9,"6",8.6,6.2
"Seager, Corey","608369","70","11.4",31.4,"112.4","93","104.3","96","89.7","427","179","385","34",48.6,"11",15.7,11.8
"Pham, Tommy","502054","70","3.5",27.1,"109.9","88.7","100.4","93.1","87.5","386","115",,"27",38.6,"2",2.9,1.8
"Misner, Kameron","670224","69","13.4",27.5,"108.2","88.3","99.6","92.9","83.6","431","164","379","24",34.8,"4",5.8,4
"Abrams, CJ","682928","69","13.7",34.8,"112.7","91.4","100.8","94","89","414","167","391","30",43.5,"8",11.6,8.2
"Trevino, Jose","624431","68","6.6",29.4,"107.2","88.3","100.1","94.7","84.3","409","145","388","30",44.1,"5",7.4,6
"Wade Jr., LaMonte","664774","68","24.4",36.8,"107.6","90","97.4","91.6","87.2","388","207","364","20",29.4,"2",2.9,1.9
"Benintendi, Andrew","643217","68","23.6",32.4,"108.5","88.3","98.5","94.9","78.5","401","197","381","25",36.8,"8",11.8,8.4
"Moniak, Mickey","666160","68","15",35.3,"108.1","88.4","100.4","93","83.6","429","178","401","29",42.6,"6",8.8,6.3
"Springer, George","543807","68","20.6",44.1,"112.3","92.8","102","95.5","89.8","422","189","399","35",51.5,"11",16.2,9.6
"Moreno, Gabriel","672515","68","10.7",36.8,"105.6","92.5","99.6","92.8","93.2","396","154",,"33",48.5,"1",1.5,1
"Chisholm Jr., Jazz","665862","67","18.2",29.9,"109.5","87.9","99.5","91.7","85.4","442","185","382","26",38.8,"10",14.9,8
